#{"t_start": 1682401244.4086945, "env_id": null}
r,l,t,current_date,agent_id
10.969996,36,99.475497,2018-05-14,52
129.82,30,100.268574,2018-02-17,12
-21.539999,31,100.268662,2018-02-26,28
140.53,29,100.268677,2018-04-05,32
66.41333,27,100.268689,2017-10-21,51
87.87,27,101.035628,2018-03-23,1
-43.196667,34,101.822785,2017-12-18,49
88.83333,31,102.693264,2018-02-16,0
-39.62335,35,102.693361,2018-05-19,46
82.35335,35,103.469629,2017-12-10,26
64.156654,34,103.469723,2017-11-17,55
10.196668,29,104.348859,2018-08-21,13
81.02333,46,104.348977,2018-03-02,44
7.450006,38,104.348995,2018-01-28,45
8.236663,38,105.57577,2017-06-09,50
-2.4533277,31,105.575869,2017-08-03,63
106.48,36,106.229854,2018-02-10,5
-64.98334,33,106.229949,2017-07-15,22
-70.24,36,106.229966,2017-07-12,24
56.059998,31,107.00924,2018-01-21,7
-57.166664,37,107.653706,2018-02-28,34
28.74666,21,107.653802,2017-06-01,38
38.426678,25,108.574162,2018-05-04,6
-61.93333,41,108.574259,2018-08-30,33
-91.84332,32,109.757486,2017-08-16,10
-23.296677,36,110.382144,2017-11-11,2
19.550005,37,110.382236,2017-05-29,25
-1.1300048,29,111.185891,2018-08-11,53
-57.910004,34,111.92282,2018-03-07,8
65.283325,32,111.922907,2018-01-28,11
32.979996,29,111.922924,2017-12-21,23
90.49333,28,113.329001,2018-08-07,4
34.233337,31,113.329093,2018-06-24,16
71.34002,30,113.329109,2017-07-16,29
26.04667,32,113.329121,2017-07-12,43
25.899996,40,114.152458,2018-07-14,14
-12.776668,22,114.152567,2018-05-20,17
80.846664,39,114.152586,2018-04-13,59
102.493324,27,114.889554,2017-12-09,57
-59.056664,39,114.889641,2018-04-30,58
35.25,26,115.668047,2017-12-30,30
129.31999,25,116.344304,2018-06-25,18
72.66334,26,117.120259,2017-08-05,39
44.83,33,117.767013,2017-06-07,19
-61.876675,40,117.7671,2017-09-14,20
41.19667,30,117.767118,2017-07-26,56
39.600002,37,118.46012,2018-03-11,35
138.93335,30,119.237148,2018-06-06,42
2.6766636,34,119.23726,2017-08-27,54
73.043335,38,119.772448,2017-06-23,3
34.50333,35,119.772539,2017-08-09,15
62.743332,38,120.541559,2018-04-10,48
26.613333,29,121.530429,2018-04-03,28
-30.189981,37,121.530523,2018-08-26,40
39.05333,29,122.377463,2018-02-23,1
3.866666,35,122.377557,2017-10-17,37
80.97002,31,122.377573,2017-06-13,47
-28.360003,26,122.377584,2018-08-02,55
68.55334,33,122.377595,2017-10-11,62
-242.28667,62,123.164846,2017-09-06,27
7.033321,32,123.164942,2018-02-02,41
55.61667,26,123.164963,2017-05-28,45
48.193333,27,123.989217,2018-06-07,13
126.54334,36,123.989337,2018-02-18,31
76.04666,32,123.989355,2017-10-01,32
53.30333,30,123.989367,2018-05-06,49
57.023335,25,123.989377,2018-06-21,50
-21.483335,34,123.989387,2018-03-31,61
77.15333,25,123.989397,2018-01-05,63
21.330004,34,124.837925,2018-03-28,36
30.233334,34,124.838022,2018-04-10,52
-130.43668,43,124.838037,2017-09-13,60
113.98668,26,125.535108,2017-08-02,5
33.863327,35,125.535208,2017-06-07,9
15.21,30,125.535226,2018-01-13,26
46.343327,26,126.764303,2017-07-03,34
44.98333,44,128.153075,2018-04-25,21
118.880005,24,128.15317,2018-06-19,25
31.09666,38,128.153188,2017-12-15,51
34.426662,30,129.093952,2018-05-27,7
27.050001,28,130.577027,2018-07-08,10
-50.986664,33,130.577122,2018-03-25,22
-59.73,33,130.577138,2017-09-21,24
-54.863335,38,130.57715,2018-06-30,46
65.49667,22,131.347184,2017-08-09,58
-24.786665,43,132.184402,2017-06-14,12
119.316666,32,132.1845,2017-10-05,33
-42.33334,38,132.184516,2017-08-29,44
86.70001,29,133.37096,2017-10-01,8
36.54,27,133.943208,2017-07-24,59
16.163336,31,134.710756,2018-04-14,23
114.26666,23,135.480437,2017-10-21,35
42.069996,39,136.12439,2018-03-24,38
